name,usableFrames,usableCurves,vioRmse,pfRmse,improvementPct,meanNeffRatio,elapsedSec
smooth_pf,5652,10194,5.3961267185424,5.10716146851339,5.35504937339692,0.700254611914701,101.0964913
low_info,5652,10194,5.3961267185424,5.28123713821537,2.12911197826836,0.717592563645626,100.5158166
baseline,5652,10194,5.3961267185424,6.68842928320334,-23.9487067681394,0.668356322425128,99.496662
road_gate_loose,5652,10194,5.3961267185424,6.84058551374016,-26.7684372613832,0.685545734778815,111.1589568
wide_assoc,5652,10194,5.3961267185424,6.86819572620057,-27.280104497913,0.686274592432442,101.0020557
strict_connected,1603,1617,5.3961267185424,7.35854965797151,-36.3672508409736,0.808985251759141,25.0180868
long_curves,5615,9846,5.3961267185424,7.61521850012061,-41.1237892904344,0.672313167052352,96.9522606
strict_wide,1603,1617,5.3961267185424,8.3583729869146,-54.8957877173863,0.786965327943718,24.5852523
strict_low_info,1603,1617,5.3961267185424,9.56799405815918,-77.3122566836919,0.778126850759521,25.5621642
strict_long,1430,1438,5.3961267185424,37.9013086758552,-602.379885661638,0.741695828502006,22.6403306
strict_smooth,1603,1617,5.3961267185424,51.7895637529641,-859.754402634812,0.774428203573415,26.1429639
