name,gateFix,robustLikelihood,pfStabilization,usableFrames,usableCurves,vioRmse,pfRmse,improvement,improvementPct,meanNeffRatio,elapsedSec
A1_B1_C1,1,1,1,5566,10101,5.3961267185424,2.03175973611495,3.36436698242745,62.3478127536678,0.710021979088086,125.2746514
A0_B1_C1,0,1,1,1945,5518,5.3961267185424,2.8442928070264,2.551833911516,47.2901035245759,0.807051186797972,71.9099252
A1_B0_C1,1,0,1,5566,10101,5.3961267185424,3.04137031898769,2.35475639955471,43.6379003380924,0.632565322786685,130.8637203
A0_B0_C1,0,0,1,1945,5518,5.3961267185424,6.85748854957464,-1.46136183103225,-27.0816811252903,0.714261200695317,77.2059481
A1_B1_C0,1,1,0,5566,10101,5.3961267185424,472.85426080807,-467.458134089527,-8662.84574977136,0.0621129394577004,155.0966327
A1_B0_C0,1,0,0,5566,10101,5.3961267185424,601.746709823845,-596.350583105303,-11051.4562427917,0.0442307759671801,177.6894522
A0_B0_C0,0,0,0,1945,5518,5.3961267185424,1230.25166070723,-1224.85553398869,-22698.7911492106,0.669766974107448,92.2714033
A0_B1_C0,0,1,0,1945,5518,5.3961267185424,1259.16458970631,-1253.76846298776,-23234.6000823055,0.666783632660475,87.1644237
